file_name,route_name,route_distance_m,avg_elevation_gain_per_km,center_coordinates
monsultratrail-novatrento-50k-2024.gpx,Mons Ultra Trail 2024 - 50km,53242.28820934719,58.89867068954148,[-27.26263502 -48.98420672]
mtfuji100-2024.gpx,Mt. Fuji 100 2024,167067.88252593653,42.60615441088712,[ 35.43008918 138.73717431]
occ-56k-2020.gpx,OCC 2020 - UTMB,55845.621598649224,63.72209491327569,[46.01779032  6.99562712]
paraty-byutmb-110k-2025.gpx,Paraty by UTMB 2025 - 110km - UTSB 110,108197.67031491909,45.37380506004486,[-23.10929943 -44.76644562]
paraty-byutmb-25k-2025.gpx,Paraty by UTMB 2025 - 25km - PTR 20,26990.06002837269,34.74612694906659,[-23.2116583  -44.75623485]
paraty-byutmb-35k-2025.gpx,Paraty by UTMB 2025 - 35km - PTR 35,35885.053703788035,36.402622951136465,[-23.21484856 -44.75605848]
paraty-byutmb-55k-2025.gpx,Paraty by UTMB 2025 - 55km - PTR 55,58637.51264564634,61.20552936602714,[-23.16430756 -44.76749087]
paraty-byutmb-7k-2025.gpx,Paraty by UTMB 2025 - 7km - FUN 7,6949.244940820968,8.677201697955448,[-23.21423121 -44.71707995]
tds-150km-2020.gpx,TDS 2020 - UTMB ,147218.3405958137,62.264660523286985,[45.74701383  6.7476664 ]
terradegigantes-portugal-300k-2024.gpx,Terra de Gigantes - Portugal East to West,305484.75166443264,33.80158892952835,[39.9776647  -8.26323206]
transgrancanaria-advanced-82km-2025.gpx,Transgrancanaria 2025 - Advanced 82km,82187.9547968571,53.6218990926701,[ 27.95437008 -15.60135831]
transgrancanaria-classic-126km-2025.gpx,Transgrancanaria 2025 - Classic 126km,127157.95551379233,55.51259101015782,[ 28.00750695 -15.58185307]
transgrancanaria-marathon-47km-2025.gpx,Transgrancanaria 2025 - Marathon 47km,47567.36727808419,39.63474163869957,[ 27.89515794 -15.59712814]
transgrancanaria-promo-12km-2025.gpx,Transgrancanaria 2025 - Promo 12km,12712.171612297305,60.756578060026754,[ 28.01024755 -15.61668478]
trs-09km-morrinhos-do-sul.gpx,TRS Morrinhos do Sul 2024 - 9km,8954.916867699063,26.66691422467207,[-29.36475279 -49.95165962]
trs-18km-morrinhos-do-sul.gpx,TRS Morrinhos do Sul 2024 - 18km,17215.869983819837,29.850364836803703,[-29.37189796 -49.95857567]
